order_id,product_id,product_name,vendor_name ,revisar espacios,vendor_id,option_id,quantity,order_date,delivery_date,ship_name ,ship_address ,tracking_number,delivery_status,cant. dias entre orden/despacho,hace cuanto fue el despacho
1002,1700,Ipad Air,Lenovo ,Lenovo,5200,1702,3,14/10/2018,17/10/2018,Julia Jones ,1622 Seaside St - Seattle - WA 32569 ,CD62001 ,1,3,1364
1003,1800,Ipad Mini 3th gen,Lenovo ,Lenovo,5200,1801,1,12/10/2018,15/10/2018,Irene Everly ,1756 East Dr - Houston - TX 28562,KB63001 ,0,3,1366
1003,1800,Ipad Mini 3th gen,Lenovo ,Lenovo,5200,1802,2,12/10/2018,15/10/2018,Irene Everly ,1756 East Dr - Houston - TX 28562,KB63001 ,0,3,1366
1003,1900,ESC8000 G3,Asus ,Asus,5300,1901,1,12/10/2018,15/10/2018,Irene Everly ,1756 East Dr - Houston - TX 28562,KB63001 ,0,3,1366
1003,1900,ESC8000 G3,Asus ,Asus,5300,1902,2,12/10/2018,15/10/2018,Irene Everly ,1756 East Dr - Houston - TX 28562,KB63001 ,0,3,1366
1004,2000,ESC8000 G4,Asus ,Asus,5300,2001,2,16/10/2018,19/10/2018,Rachel Rose,1465 River Dr - Boston - MA 43625 ,IK64001 ,1,3,1362
1004,2000,ESC8000 G4,Asus ,Asus,5300,2002,3,16/10/2018,19/10/2018,Rachel Rose,1465 River Dr - Boston - MA 43625 ,IK64001 ,1,3,1362
1004,2100,XPS 13 - 5080,Dell ,Dell,5400,2101,1,16/10/2018,19/10/2018,Rachel Rose,1465 River Dr - Boston - MA 43625 ,IK64001 ,1,3,1362
1004,2100,XPS 13 - 5080,Dell ,Dell,5400,2102,3,16/10/2018,19/10/2018,Rachel Rose,1465 River Dr - Boston - MA 43625 ,IK64001 ,1,3,1362
1004,2200,XPS 15 - 5070,Dell ,Dell,5400,2201,2,16/10/2018,19/10/2018,Rachel Rose,1465 River Dr - Boston - MA 43625 ,IK64001 ,1,3,1362
1004,2200,XPS 15 - 5070,Dell ,Dell,5400,2202,3,16/10/2018,19/10/2018,Rachel Rose,1465 River Dr - Boston - MA 43625 ,IK64001 ,1,3,1362
1005,2300,Monoprice Ultra Slim Series High Speed HDMI Cable,Monoprice ,Monoprice,5500,2301,1,13/10/2018,16/10/2018,Sophie Sutton,1896 West Dr - Portland - OR 65842,OP65001 ,0,3,1365
1005,2300,Monoprice Ultra Slim Series High Speed HDMI Cable,Monoprice ,Monoprice,5500,2302,1,13/10/2018,16/10/2018,Sophie Sutton,1896 West Dr - Portland - OR 65842,OP65001 ,0,3,1365
1005,2400,Monoprice Ultra Slim Series High Speed HDMI Cable - 4K,Monoprice ,Monoprice,5500,2401,3,13/10/2018,16/10/2018,Sophie Sutton,1896 West Dr - Portland - OR 65842,OP65001 ,0,3,1365
1006,2400,Monoprice Ultra Slim Series High Speed HDMI Cable - 4K,Monoprice ,Monoprice,5500,2402,2,21/10/2018,24/10/2018,Wendy West,1252 Vine St - Chicago - IL 73215,XH66001 ,1,3,1357
1006,2500,Avantree HT3189 Wireless Headphones,Sony ,Sony,5600,2501,3,21/10/2018,24/10/2018,Wendy West,1252 Vine St - Chicago - IL 73215,XH66001 ,1,3,1357
1006,2500,Avantree HT3189 Wireless Headphones,Sony ,Sony,5600,2502,1,21/10/2018,24/10/2018,Wendy West,1252 Vine St - Chicago - IL 73215,XH66001 ,1,3,1357
1006,2600,COWIN E7 PRO,Sony ,Sony,5600,2601,2,21/10/2018,24/10/2018,Wendy West,1252 Vine St - Chicago - IL 73215,XH66001 ,1,3,1357
1006,2600,COWIN E7 PRO,Sony ,Sony,5600,2602,1,21/10/2018,24/10/2018,Wendy West,1252 Vine St - Chicago - IL 73215,XH66001 ,1,3,1357
